[2022-07-23 12:43:18,543][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:43:18,544][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:43:20,558][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/db/ with method: GET
[2022-07-23 12:43:20,559][django.server.log_message():161] [INFO] "GET /public/db/ HTTP/1.1" 200 2
[2022-07-23 12:43:32,025][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:43:32,025][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:43:33,732][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:43:33,733][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5200
[2022-07-23 13:33:58,715][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 13:33:58,715][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2713
[2022-07-23 13:33:59,013][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 13:33:59,015][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5200
[2022-07-23 13:34:21,562][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 13:34:21,562][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2713
[2022-07-23 13:34:21,750][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 13:34:21,751][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5200
[2022-07-23 13:34:24,630][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 13:34:24,631][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 13:35:34,158][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 13:35:34,158][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2713
[2022-07-23 13:35:34,367][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 13:35:34,367][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 13:35:48,474][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 13:35:48,475][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2713
[2022-07-23 13:35:48,674][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 13:35:48,675][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 13:35:56,873][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 13:35:56,874][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 13:35:56,894][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 13:35:56,895][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 13:35:59,683][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 13:35:59,684][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5200
[2022-07-23 13:43:02,827][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 13:43:02,828][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2713
[2022-07-23 13:43:03,205][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
